MES,A–o,Dia,Fecha,Turno,TMS,Cbz Cu %,Cbz Au oz/ton,Cbz Ag oz/ton,Cbz Fe %,TM Finas Cu Conc,Cu % Con,Au oz/t Conc,Ag oz/t Conc,Rec Cu %,Rec Au % ,Rec Ag %,TMF Cu Conc,oz/t Au Finos Conc,oz/t Ag Finos Conc,TMF Fe Finos Conc,TMF Cu Cbz,oz/t Au Cbz,oz/t Ag Cbz,TMF Fe Cbz,Ratio,TMF Cu Rel,oz/t Au Rel,oz/t Ag Rel,TMF Fe Rel,Hrs Operacion,Tipo de Mineral,pH,Jefe de Guardia,% Malla -200,% Malla -201 WSP,Target %R,Uso Denver
August,2023,13,13-Aug-23,TD,118.7440033,1.21,0.028968224,0.601308411,20.31196262,11.31952181,10.89,0.19,4.22,85.79439252,62.52419667,66.90083929,1.232695925,2.150709143,47.76838203,5.65296919,1.43680244,3.439802921,71.40176795,24.11923755,10.49019608,0.204106515,1.289093778,23.63338592,18.46626836,,SULFURO,,,,,No,No
August,2023,14,14-Aug-23,TD,170.6075068,1.31,0.027148298,0.371077796,20.3239141,12.85777806,12.72,0.213,2.47,73.17851708,59.12957822,50.16487956,1.63550937,2.738706727,31.75871181,5.600848124,2.234958339,4.631703472,63.30865755,34.67412312,13.2688172,0.599448969,1.892996744,31.54994574,29.073275,,SULFURO,,,,,No,No
August,2023,15,15-Aug-23,TD,172.5154302,1.49,0.023950763,0.422736383,21.22475817,9.170754896,23.22,0.219,4.39,82.84247927,48.60734623,55.20418891,2.129449287,2.008395322,40.25961399,3.162993364,2.57047991,4.131876101,72.92854906,36.61598287,18.81147541,0.441030623,2.123480779,32.66893506,33.4529895,,SULFURO,,,,,No,No
August,2023,16,16-Aug-23,TD,174.8386244,1.52,0.029005945,0.50566879,19.47387261,9.874113395,23.74,0.263,4.61,88.2059448,51.20701518,51.48675316,2.34411452,2.596891823,45.51966275,3.496423553,2.657547091,5.071359488,88.41043561,34.04785099,17.70676692,0.313432571,2.474467665,42.89077286,30.55142744,,SULFURO,,,,,No,No
August,2023,17,17-Aug-23,TD,177.1671153,1.41,0.031335388,0.448631319,24.05639951,8.956660577,16.81,0.263,3.24,60.27144494,42.43103923,36.51055409,1.505614643,2.355601732,29.01958027,3.595203556,2.498056326,5.551600372,79.48271669,42.62002906,19.7804878,0.992441683,3.19599864,50.46313642,39.0248255,,SULFURO,,,,,No,No
August,2023,18,18-Aug-23,TD,160.1971423,1.56,0.022941294,0.443715811,26.84996664,9.93884872,15.62,0.143,3.07,62.12090111,38.67224985,42.92544315,1.55244817,1.421255367,30.51226557,3.945722942,2.499075419,3.67512977,71.08200483,43.01287926,16.11827957,0.946627249,2.253874403,40.56973926,39.06715632,,SULFURO,,,,,No,No
August,2023,19,19-Aug-23,TD,159.0133492,1.49,0.032259347,0.470801187,18.74620178,10.47506336,17.23,0.277,3.46,76.17668731,56.56493184,48.41295853,1.804853416,2.90159255,36.24371922,4.08213219,2.369298902,5.129666837,74.86367352,29.80896329,15.18018018,0.564445486,2.228074287,38.61995431,25.7268311,,SULFURO,,,,,No,No
August,2023,20,20-Aug-23,TD,127.6554884,1.59,0.025364568,0.564304539,20.72777452,12.33566945,13.93,0.169,3.97,84.65979723,64.38466867,67.98297961,1.718358755,2.084728138,48.97260773,4.814611788,2.029722266,3.237926328,72.03657153,26.46014181,10.34848485,0.311363511,1.15319819,23.0639638,21.64553002,,SULFURO,,,,,No,No
August,2023,21,21-Aug-23,TD,111.3102232,1.65,0.023882692,0.507096154,23.42109615,6.207685522,21.29,0.242,4.86,71.95920746,56.51018601,53.44912587,1.321616248,1.502259896,30.16935164,2.211798352,1.836618682,2.65838781,56.44498605,26.0700744,17.93103448,0.515002434,1.156127914,26.27563441,23.85827604,,SULFURO,,,,,No,No
August,2023,22,22-Aug-23,TD,102.5002062,1.63,0.037144314,0.576797552,22.49503825,5.906437176,20.11,0.432,4.94,71.09275035,67.01812191,49.35195827,1.187784516,2.55158086,29.17779965,2.077293955,1.670753361,3.807299858,59.12186805,23.05746059,17.3539823,0.482968845,1.255718998,29.9440684,20.98016664,,SULFURO,,,,,No,No
